UGL,Union Glacier Blue-Ice Runway,AQ
BWB,Barrow Island,AU
BYP,Barimunya Airport,AU
BZD,Balranald,AU
CBI,Cape Barren Island,AU
CBX,Condobolin,AU
CBY,Canobie,AU
CCL,Chinchilla,AU
CED,Ceduna Airport,AU
CFH,Clifton Hills,AU
CFI,Camfield,AU
CKI,Croker Island,AU
CML,Camooweal,AU
CMQ,Clermont,AU
CNC,Coconut Island,AU
CNJ,Cloncurry Airport,AU
CPD,Coober Pedy Airport,AU
CRB,Collarenebri,AU
NLF,Darnley Island,AU
KCE,Collinsville,AU
CCW,Cowell,AU
CDA,Cooinda,AU
CDQ,Croydon,AU
CFP,Carpentaria Downs,AU
CJF,Coondewanna Airport,AU
COY,Coolawanyah,AU
CUG,Cudal,AU
CUQ,Coen,AU
CUY,Cue,AU
CWR,Cowarie,AU
CXQ,Christmas Creek,AU
CYG,Corryong,AU
DDN,Delta Downs,AU
DFP,Drumduff,AU
DGD,Dalgaranga,AU
DHD,Durham Downs,AU
DKI,Dunk Island,AU
DKV,Docker River,AU
DLK,Dulkaninna,AU
DMD,Doomadgee Airport,AU
DNB,Dunbar,AU
DNG,Doongan,AU
DOX,Dongara,AU
DPO,Devonport Airport,AU
DRB,Derby,AU
DRD,Dorunda Station,AU
DRN,Dirranbandi,AU
DRR,Durrie,AU
KFE,Fortescue Dave Forrest,AU
FOS,Forrest,AU
FVL,Flora Valey,AU
FVR,Forrest River Airport,AU
YGE,Gorge Harbor,CA
GBL,Goulburn Island,AU
YGN,Greenway Sound,CA
FIK,Finke,AU
FIZ,Fitzroy Crossing,AU
FLY,Finley,AU
GBP,Gamboola,AU
GBV,Gibb River,AU
GBW,Ginbata Airport,AU
GDD,Gordon Downs,AU
GEE,George Town,AU
GGD,Gregory Downs,AU
GLG,Glengyle,AU
GLM,Glenormiston,AU
GLT,Gladstone Airport,AU
GPD,Mount Gordon Mine,AU
GSC,Gascoyne Junction,AU
GTE,Alyangula Airport,AU
GTT,Georgetown Airport,AU
GVP,Greenvale,AU
HAT,Heathlands,AU
HLL,Hillside,AU
HMG,Hermannsburg,AU
INM,Innamincka,AU
KUG,Kubin Island,AU
IRG,Lockhart River,AU
ISI,Isisford,AU
UBU,Kalumburu,AU
KDB,Kambalda,AU
KBY,Streaky Bay,AU
IVW,Inverway,AU
KCS,Kings Creek Station,AU
KRA,Kerang,AU
JAB,Jabiru,AU
KFG,Kalkurung,AU
KOH,Koolatah,AU
KKP,Koolburra,AU
JCK,Julia Creek,AU
KML,Kamileroi,AU
LZR,Lizard Island,AU
KPP,Kalpowar,AU
LWH,Lawn Hill,AU
LTP,Lyndhurst,AU
KRD,Kurundi,AU
LGH,Leigh Creek,AU
LNH,Lake Nash,AU
LOC,Lock,AU
LFP,Lakefield,AU
LTV,Lotusvale,AU
LIB,Limbunya,AU
BBL,Ballera Airport,AU
LKD,Lakeland Downs,AU
LUU,Laura,AU
YLP,Mingan,CA
LUT,Laura Station,AU
LVO,Laverton,AU
LER,Leinster,AU
MRG,Mareeba,AU
MBB,Marble Bar,AU
LNO,Leonora,AU
JUN,Jundah,AU
KBJ,Kings Canyon,AU
KBB,Kirkimbie,AU
KRB,Karumba Airport,AU
KWM,Kowanyama,AU
KGC,Kingscote Airport,AU
YKT,Klemtu,CA
LEL,Lake Evella,AU
LOA,Lorraine,AU
UBB,Mabuiag Island,AU
ONR,Monkira,AU
GSN,Mount Gunson,AU
OXY,Morney,AU
OOR,Mooraberree,AU
ONG,Mornington Airport,AU
NMR,Nappa Merry,AU
UTB,Muttaburra,AU
MFP,Manners Creek,AU
MKR,Meekatharra,AU
MLV,Merluna,AU
MGT,Milingimbi,AU
MGV,Margaret River,AU
MNG,Maningrida Airport,AU
MHO,Mount House,AU
MCV,Mcarthur River Airport,AU
MNQ,Monto,AU
MIH,Mitchell Plateau,AU
MTQ,Mitchell,AU
MNW,Macdonald Downs,AU
MMG,Mount Magnet,AU
MSF,Mount Swan,AU
MET,Moreton,AU
MQE,Marqua,AU
MTD,Mt Sandford,AU
MIY,Mittiebah,AU
MUQ,Muccan,AU
MNE,Mungeranie,AU
MVK,Mulka,AU
MUP,Mulga Park,AU
MKV,Mt Cavenagh,AU
MWT,Moolawatana,AU
MXD,Marion Downs,AU
RRE,Marree,AU
WME,Mount Keith,AU
YOI,Opinaca,CA
RPM,Ngukurr,AU
PXH,Prominent Hill,AU
NAA,Narrabri,AU
ABM,Northern Peninsula Airport,AU
MOO,Moomba,AU
KNX,Kununurra Airport,AU
UTD,Nutwood Downs,AU
EDR,Edward River,AU
GOV,Nhulunbuy Airport,AU
NLS,Nicholson,AU
NMP,New Moon,AU
NPP,Napperby,AU
NSM,Norseman,AU
LEA,Learmonth Airport,AU
NUR,Nullarbor,AU
NLL,Nullagine,AU
NTN,Normanton Airport,AU
NUB,Numbulwar,AU
ODD,Oodnadatta,AU
OLP,Olympic Dam Airport,AU
OSO,Osborne Mine,AU
KTR,Tindal,AU
ODR,Ord River,AU
PBO,Paraburdoo Airport,AU
PKT,Port Keats,AU
PQQ,Port Macquarie Airport,AU
PHE,Port Hedland International Airport,AU
PDN,Parndana,AU
PDE,Pandie Pandie,AU
PRD,Pardoo,AU
OYN,Ouyen,AU
PEA,Penneshaw,AU
YQJ,April Point SPB,CA
ULP,Quilpie,AU
TDR,Theodore,AU
CDU,Camden,AU
TQP,Trepell Airport,AU
NDS,Sandstone,AU
MJK,Shark Bay,AU
RMA,Roma Airport,AU
RCM,Richmond,AU
ROH,Robinhood,AU
SBR,Saibai Island,AU
RPB,Roper Bar,AU
RTP,Rutland Plains,AU
RHL,Roy Hill,AU
RSB,Roseberth,AU
SHU,Smith Point,AU
SGP,Shay Gap,AU
SCG,Spring Creek,AU
STH,Strathmore,AU
SRN,Strahan,AU
KSV,Springvale,AU
SYD,Sydney (Kingsford Smith) Airport,AU
SQC,Southern Cross,AU
STF,Stephen Island,AU
SSP,Silver Plains,AU
TBL,Tableland,AU
TBK,Timber Creek,AU
CZY,Cluny,AU
GTS,Granites,AU
MFL,Mount Full Stop,AU
PHQ,The Monument Airport,AU
TKY,Turkey Creek,AU
TYB,Tibooburra,AU
OKR,Yorke Island,AU
SYU,Warraber Island,AU
TXR,Tanbar,AU
TTX,Mungalalu Truscott Airbase,AU
WNR,Windorah,AU
THG,Thangool,AU
KYF,Yeelirrie,AU
VNR,Vanrook,AU
WON,Wondoola,AU
WAV,Kalkgurung,AU
WND,Windarra,AU
WUN,Wiluna,AU
WLO,Waterloo,AU
WIT,Wittenoom,AU
WLA,Wallal,AU
TEF,Telfer Airport,AU
TDN,Theda Station,AU
TYG,Thylungra,AU
TYP,Tobermorey,AU
WWI,Woodie Woodie,AU
PEK,Beijing Capital International Airport,CN
ORR,Yorketown,AU
BHY,Beihai Fucheng Airport,CN
KKI,Spb,US
SJW,Shijiazhuang Daguocun Airport,CN
BPE,Qinhuangdao Beidaihe Airport,CN
KBC,Birch Creek,US
TDT,Tanda Tula,ZA
CAN,Guangzhou Baiyun International Airport,CN
KHO,Khoka Moya,ZA
TSN,Tianjin Binhai International Airport,CN
ZDY,Delma Island Airport,AE
KYI,Yalata Mission,AU
KBW,Chignik Bay,US
CIF,Chifeng Airport,CN
CSX,Changsha Huanghua Airport,CN
CZC,Copper Centre,US
CZP,Cape Pole,US
DYG,Zhangjiajie Hehua Airport,CN
HZV,Hazyview,ZA
INY,Inyati,ZA
JBT,City Landing,US
LYA,Luoyang Beijiao Airport,CN
NNG,Nanning Airport,CN
SYX,Sanya Phoenix International Airport,CN
ZHY,Zhongwei Airport,CN
NNY,Nanyang Airport,CN
BAR,Baker AAF,US
CGO,Zhengzhou Xinzheng Airport,CN
COQ,Choibalsan,MN
SIA,Xi'an Xiguan Airport,CN
DNH,Dunhuang Airport,CN
HAK,Haikou Airport,CN
SWA,Jieyang Chaoshan Airport,CN
WUH,Wuhan Tianhe International Airport,CN
WOS,Wonsan,KP
LHW,Lanzhou Zhongchuan International Airport,CN
LUM,Dehong Mangshi Airport,CN
TAO,Qingdao Liuting International Airport,CN
ULN,Chinggis Khaan International Airport,MN
FOC,Changle International Airport,CN
HFE,Hefei Xinqiao Airport,CN
HGH,Hangzhou Xiaoshan International Airport,CN
ZNU,Namu,CA
HJT,Khujirt,MN
JIU,Jiujiang,CN
URC,Urumqi Diwopu International Airport,CN
IQM,Qiemo Airport,CN
KGT,Kangding Airport,CN
NGQ,Ngari Gunsa/Ali Kunsha,CN
KRY,Karamay Airport,CN
YUS,Yushu Batang Airport,CN
YNJ,Yanji Chaoyangchuan Airport,CN
MCC,Mcclellan AFB,US
MCD,Mackinac Island,US
MCI,Kansas City International Airport,US
MCO,Orlando International Airport,US
MCA,Macenta,GN
JSJ,Jiansanjiang Shidi Airport,CN
LDS,Yichun Shi Airport,CN
MCB,Pike County,US
MCQ,Miskolc,HU
MCH,Machala,EC
JNZ,Liaoning Province Airport,CN
JXA,Jixi Airport,CN
DLC,Dalian Zhoushuizi International Airport,CN
FYJ,Fuyuan Dongji Airport,CN
HEK,Heihe Airport,CN
HRB,Harbin Taiping International Airport,CN
JIL,Jilin,CN
JMU,Jiamusi Airport,CN
MCK,Mc Cook Airport,US
MCM,Fontvieille Heliport,MC
MCR,Melchor De Menco,GT
MCU,Gueret (Lepaud),FR
MCW,Mason City Airport,US
MFU,Mfuwe,ZM
MFX,Meribel,FR
MFY,Mayfa'ah,YE
MGA,Augusto C Sandino International Airport,NI
MGB,Mount Gambier Airport,AU
MGC,Michigan City Airport,US
MGF,Regional De Maringa,BR
MGH,Margate Airport,ZA
MGI,Aransas National Wildlife Refuge,US
MGJ,Orange County,US
MFV,Accomack County,US
MGL,Moenchen-gl. - Dus Exp,DE
MHN,Mullen,US
MGN,Baracoa,CO
MGO,Manega,GA
MGU,Manaung,MM
MGW,Morgantown Airport,US
MGY,Dayton-Wright Brothers Airport,US
MHE,Municipal,US
MHI,Musha,DJ
MHL,Memorial Municipal,US
MHP,Minsk International 1,BY
MHS,Rep,US
MIU,Maiduguri,NG
MHU,Mount Hotham,AU
MHV,Kern County,US
MIV,Millville,US
MHZ,Mildenhall Airport,GB
MJP,Manjimup,AU
MIE,Delaware County,US
MOH,Maleo Airport,ID
MIF,Roy Hurd Memorial,US
MIG,Mianyang Nanjiao Airport,CN
MII,Dr Gastao Vidigal Airport,BR
MIJ,Mili Island,MH
MIO,Miami,US
MJS,Maganja Da Costa,MZ
MJT,Mytilene International Airport,GR
MJU,Tampa Padang Airport,ID
MJV,Murcia-San Javier Airport,ES
MJW,Mahenye,ZW
MJX,Robert J. Miller,US
MJY,Mangunjaya,ID
MJZ,Mirnyj Airport,RU
MKA,Marianske Lazne,CZ
MKC,Charles B. Wheeler Downtown Airport,US
MKE,General Mitchell International Airport,US
MKF,Mckenna AAF,US
MKG,Muskegon Airport,US
MKI,Mboki,CF
MKJ,Makoua,CG
MKK,Molokai Airport,US
MKU,Makokou,GA
MLA,Malta International Airport,MT
MKS,Mekane Selam,ET
MKT,Municipal,US
MLB,Orlando Melbourne International Airport,US
MLD,Malad City,US
MLT,Millinocket,US
MLW,Sprigg Payne,LR
MLX,Malatya Airport,TR
MMA,Malmö Bulltofta Airport,DK
MMC,Ciudad Mante,MX
MLZ,Cerro Largo,UY
MMB,Memanbetsu Airport,JP
MMN,Minute Man Airfield,US
MNH,Minneriya,LK
MMI,McMinn County,US
MMJ,Matsumoto Airport,JP
MMS,Selfs,US
MML,Municipal-Ryan Field,US
MMZ,Maimana,AF
MMO,Vila Do Maio,CV
MNK,Maiana,KI
MNU,Maulmyine,MM
MOF,Wai Oti Airport,ID
MNZ,Manassas Regional Airport/Harry P. Davis Field,US
MOA,Orestes Acosta,CU
MOG,Mong Hsat,MM
MOD,Modesto Municipal Airport,US
NDE,Mandera,KE
MOJ,Moengo,SR
MOM,Moudjeria,MR
MOP,Municipal,US
MOR,Moore-Murrell,US
MOX,Municipal,US
MOY,Monterrey,CO
MOZ,Temae Airport,PF
MPC,Muko-Muko,ID
MPD,Mirpur Khas,PK
MPI,Mamitupo,PA
MPV,Edward F Knapp State,US
MPW,Mariupol,UA
MPZ,Municipal,US
MQA,Mandora,AU
MQB,Municipal,US
MQC,Miquelon Airport,PM
MQF,Magnitogorsk Airport,RU
MQG,Midgard,NA
MQH,Municipal,BR
MQI,Quincy,US
MQL,Mildura Airport,AU
MQM,Mardin Airport,TR
MQN,Mo i Rana Airport,NO
MQP,Kruger Mpumalanga International Airport,ZA
MQD,Maquinchao,AR
MQR,Mosquera,CO
MRS,Marseille Provence Airport,FR
MRU,Sir Seewoosagur Ramgoolam International Airport,MU
MRV,Mineralnye Vody Airport,RU
MRW,Maribo,DK
MRY,Monterey Regional Airport,US
MRZ,Moree Airport,AU
MSC,Falcon Field,US
MSD,Mt Pleasant,US
MTK,Makin Island,KI
MSE,Kent International,GB
MSH,Masirah,OM
MSI,Masalembo,ID
MSJ,Misawa,JP
MSL,Northwest Alabama Regional Airport,US
MSM,Masi Manimba,CD
MSN,Dane County Regional Airport,US
MRX,Mahshahr Airport,IR
MSX,Mossendjo,CG
MUH,Mersa Matruh,EG
MVE,Montevideo-Chippewa,US
MTS,Matsapha International,SZ
MTT,Minatitlan Airport,MX
MTU,Montepuez,MZ
MTW,Municipal,US
MTX,Metro Field,US
MTY,Gen Mariano Escobedo Airport,MX
MTZ,Masada,IL
MUC,Franz Josef Strauss Airport,DE
MUD,Mueda,MZ
MVR,Salam,CM
MVS,Aeroporto Max Feffer,BR
MVU,Musgrave,AU
MVX,Minvoul,GA
MVW,Skagit Regional,US
MWD,Mianwali,PK
MXF,Maxwell AFB,US
MXR,Mirgorod,UA
MWH,Grant County,US
MWJ,Matthews Ridge,GY
MWN,Mwadui,TZ
MWQ,Magwe,MM
MWS,Mount Wilson,US
MWV,Mundulkiri,KH
MXS,Maota Savaii Island,WS
MXU,Mullewa,AU
MXV,Moron,MN
MXX,Mora Airport,SE
MXZ,Mei Xian Airport,CN
MXW,Mandalgobi,MN
MYB,Mayoumba,GA
MYC,Maracay,VE
MYE,Miyake Jima,JP
MYL,Mccall,US
MYP,Mary Airport,TM
MYQ,Mysore,IN
MYT,Myitkyina Airport,MM
MYZ,Monkey Bay,MW
MZA,Mayor Pnp Nancy Flore Airport,PE
MZC,Mitzic,GA
MZW,Mechria,DZ
MZU,Muzaffarpur,IN
MZX,Mena,ET
MZZ,Marion,US
NAB,Albany NAS,US
NAC,Naracoorte,AU
MZY,Mossel Bay,ZA
NAX,Kalaeloa John Rodgers Field,US
NAF,Banaina,ID
NBH,Nambucca Heads,AU
NAH,Naha,ID
NAK,Nakhon Ratchasima,TH
NAL,Nalchik Airport,RU
NAM,Namlea,ID
NAO,Nanchong Airport,CN
NDL,Ndele,CF
NEG,Negril,JM
NCO,NAS,US
NCQ,Atlanta NAS,US
NCR,San Carlos,NI
NCS,Newcastle,ZA
NCY,Annecy-Meythe,FR
NDF,Ndalatandos,AO
NDG,Qiqihar Airport,CN
NDK,Namdrik Island,MH
NFR,Nafoora,LY
NGA,Young,AU
NGB,Ningbo Airport,CN
NGC,North Rim,US
NGE,Ngaoundéré,CM
NGF,Marine Corps Air Station Kaneohe Bay,US
NGI,Ngau Island,FJ
NGL,Ngala Airfield,ZA
NGN,Nargana,PA
NGO,Chubu Centrair International Airport,JP
NGU,NAS Chambers,US
NGW,Cabaniss Field,US
NGX,Manang,NP
NGZ,NAS,US
NHD,Minhad AB,AE
NHF,New Halfa,SD
NHK,Patuxent River NAS,US
NHS,Nushki,PK
NHX,Barin Olf Osn,US
NIA,Nimba,LR
NKB,Noonkanbah,AU
NKY,Nkayi,CG
NKD,Sinak,ID
NMA,Namangan Airport,UZ
NKL,Nkolo,CD
NMS,Namsang,MM
NKO,Ankokoambo,MG
NKS,Nkongsamba,CM
NKT,Shirnak,TR
NKX,Miramar MS,US
NLA,Simon Mwansa Kapwepwe International Airport,ZM
NLC,Lemoore NAS (Reeves Field),US
NLU,Santa Lucia,MX
NMB,Daman,IN
NKC,Nouakchott International Airport,MR
NMG,San Miguel,PA
NOD,Norden Norddeich Airport,DE
NNM,Naryan-Mar Airport,RU
NNX,Nunukan Airport,ID
NPO,Nangapinoh,ID
NOA,Nowra,AU
NQU,Nuqui,CO
NOI,Novorossijsk,RU
NOJ,Nojabrxsk Airport,RU
NOZ,Novokuznetsk Airport,RU
NPA,Pensacola NAS,US
NPE,Hawkes Bay Airport,NZ
NPT,State,US
NPU,San Pedro Uraba,CO
NQA,Millington Regional Jetport,US
NQI,NAS,US
NQL,Niquelandia,BR
NQN,Presidente Peron International Airport,AR
NRC,Aux Field,US
NRD,Norderney,DE
NRG,Narrogin,AU
NRI,Shangri-la,US
NRE,Namrole,ID
NRM,Nara,ML
NRR,Roosevelt NAS,PR
NRS,NAS,US
NSK,Noril'sk Airport,RU
NSB,North SPB,BS
NSP,NAF,PH
NZA,Nzagi,AO
NUD,En Nahud,SD
NUE,Nuremberg Airport,DE
NUF,Castlereigh Reservoir Waterdrome,LK
NUJ,Nojeh,IR
NUM,Neom Airport,SA
NUN,Saufley NAS,US
NUQ,Moffett Field,US
NUU,Nakuru,KE
NUW,Whidbey Island NAS (Ault Field),US
NUX,Novy Urengoy Airport,RU
NVA,Benito Salas Airport,CO
NVD,Nevada,US
NVG,Nueva Guinea,NI
NVI,Navoi Airport,UZ
NVK,Framnes,NO
NUH,Nunchia,CO
NVR,Novgorod,RU
NVY,Neyveli,IN
NZC,Maria Reiche Neuman Airport,PE
NZE,Nzerekore,GN
NZH,Manzhouli Airport,CN
NZL,Zhalantun Chengjisihan Airport,CN
NZW,South Weymouth,US
NZY,North Island NAS,US
OAA,Shank Air Base,AF
OAG,Orange Airport,AU
OAH,Shindand Air Base,AF
OAJ,Albert J Ellis Airport,US
OAK,Metropolitan Oakland International Airport,US
OAL,Cacoal Airport,BR
OAM,Oamaru,NZ
OAN,Olanchito,HN
OAR,Marina Municipal,US
OAS,Sharana Air Base,AF
OAI,Bagram,AF
OBE,County,US
OBC,Obock,DJ
ODB,Cordoba,ES
ODC,Oakdale,US
ODH,Odiham RAF Station,GB
ODE,Beldringe,DK
ODM,Garrett County Airport,US
ODN,Long Seridan Airport,MY
ODO,Bodaybo Airport,RU
ODS,Odessa International Airport,UA
ODW,Oak Harbor,US
ODY,Oudomxay Airport,LA
OEA,Oneal,US
OEC,Ocussi,TL
OEL,Orel,RU
OEO,Municipal,US
OER,Ornskoldsvik Airport,SE
OES,San Antonio Oeste,AR
OGA,Searle Field,US
OFK,Stefan Field,US
OFU,Airstrip,AS
OKQ,Okaba,ID
OHT,Kohat,PK
OIC,Eaton,US
OIL,Splane Memorial,US
OIR,Okushiri Airport,JP
OKB,Fraser Island,AU
OKF,Okaukuejo,NA
OKG,Okoyo,CG
OKH,Cottesmor RAF,GB
OKM,Okmulgee,US
OKN,Okondja,GA
OKO,Yokota AFB,JP
OKS,Oshkosh,US
OLU,Columbus Municipal,US
OLV,Olive Branch Airport,US
OLY,Olney-Noble,US
OMJ,Omura,JP
OMI,Omidieh,IR
OMK,Municipal,US
OML,Omkalai,PG
OMY,Oddor Meanche,KH
ONA,Municipal,US
ONH,Municipal,US
ONI,Moanamani,ID
ONL,Municipal,US
ONM,Socorro,US
ONP,Newport,US
OLX,Olkiombo Airport,KE
ONX,Enrique Adolfo Jimenez,PA
ONY,Olney,US
OOA,Municipal,US
OLZ,Olokminsk Airport,RU
OPI,Oenpelli,AU
OPO,Porto Airport,PT
OPW,Opuwa,NA
ORA,Oran,AR
ORB,Orebro-Bofors Airport,SE
ORC,Orocue,CO
ORD,O'Hare International Airport,US
ORE,Orleans,FR
ORF,Norfolk International Airport,US
ORG,Zorg En Hoop,SR
ORH,Worcester Regional Airport,US
ORK,Cork Airport,IE
OPL,St Landry Parish,US
ORM,Northampton,GB
ORO,Yoro,HN
ORP,Orapa,BW
ORQ,Heliport,US
ORW,Ormara,PK
ORY,Paris Orly Airport,FR
ORX,Oriximina,BR
ORZ,Orange Walk,BZ
OSC,Wurtsmith AFB,US
OSW,Orsk Airport,RU
OSY,Namsos Airport,NO
OSZ,Koszalin,PL
OTA,Mota,ET
OTC,Bol,TD
OTD,Contadora,PA
OTG,Worthington,US
OTH,Southwest Oregon Regional Airport,US
OTI,Pitu,ID
OTJ,Otjiwarongo,NA
OTK,Tillamook,US
OTL,Boutilimit,MR
OTM,Industrial,US
OTO,Vor,US
OTP,Bucharest Henri Coanda International Airport,RO
OTR,Coto 47,CR
OTS,Anacortes,US
OWE,Owendo,GA
OZI,Bobadilla,ES
OWK,Central Maine Airport of Norridgewock,US
OXB,Osvaldo Vieira Airport,GW
OXC,Waterbury-oxford,US
OXD,Miami University,US
OXF,Oxford (Kidlington),GB
OXR,Ventura,US
OYA,Goya,AR
OYG,Moyo,UG
OYL,Moyale,KE
OYO,Tres Arroyos,AR
OYP,St-Georges de lOyapock,GF
PBG,Plattsburgh International Airport,US
PAZ,El Tajin National Airport,MX
PBB,Paranaiba,BR
PBC,Huejotsingo Airport,MX
PBH,Paro Airport,BT
PBE,Puerto Berrio,CO
PBN,Porto Amboim,AO
PBR,Puerto Barrios,GT
PBP,Punta Islita,CR
PBQ,Pimenta Bueno,BR
PBS,Patong Beach,TH
PBT,Puerto Leda,PY
PBW,Palibelo,ID
PCG,Paso Caballos,GT
PCH,Palacios,HN
PAX,Port De Paix,HT
PCU,Pearl River County,US
PCV,Punta Chivato,MX
PDD,Ponta de Ouro,MZ
PDF,Prado,BR
PDA,Puerto Inirida,CO
PDK,DeKalb Peachtree Airport,US
PEM,Puerto Maldonado Airport,PE
PDM,Pedasí Airport,PA
PDP,Capitan de Corbeta Carlos A. Curbelo International Airport,UY
PDS,Piedras Negras International Airport,MX
PDV,Plovdiv Airport,BG
PEE,Perm International Airport,RU
PEF,Peenemuende,DE
PEG,Sant Egidio Airport,IT
PEJ,Peschiei,IT
PDC,Mueo,NC
PFC,Pacific City State,US
PFN,Bay County,US
PGO,Stevens Field,US
PGR,Paragould Kirk Field,US
PHD,Harry Clever Field,US
PGA,Page Airport,US
PGC,Grant County,US
PGD,Charlotte County Airport,US
PGF,Llabanere Airport,FR
PGG,Progresso,BR
PHK,Palm Beach Co Glades,US
PGL,Jackson County,US
PIK,Glasgow Prestwick Airport,GB
PIT,Pittsburgh International Airport,US
PHU,Phu Vinh,VN
PJG,Panjgur,PK
PHZ,Phi Phi Island,TH
PIF,Pingtung,TW
PIG,Pitinga,BR
PIL,Pilar,PY
PIM,Garden Harris County,US
PIO,Capitan FAP Renan Elias Olivera Airport,PE
PIS,Poitiers-Biard Airport,FR
PIU,Cap. FAP Guillermo Concha Iberico International Airport,PE
PIV,Pirapora,BR
PJA,Pajala Airport,SE
PKJ,Playa Grande,GT
PKK,Pakokku,MM
PKN,Iskandar Airport,ID
PKO,Parakou,BJ
PKR,Pokhara Airport,NP
PKS,Paksane,LA
PKV,Pskov Airport,RU
PKW,Selebi-Phikwe,BW
PKX,Beijing Daxing International Airport,CN
PKY,Tjilik Riwut Airport,ID
PLC,Planeta Rica,CO
PLQ,Palanga International Airport,LT
PLD,Playa Samara,CR
PLR,St Clair County,US
PLH,Plymouth,GB
PLI,Palm Island,VC
PLX,Semipalatinsk Airport,KZ
PLK,M. Graham Clark - Taney County,US
PMF,Parma Airport,IT
PMT,Paramakotoi,GY
PMK,Palm Island Airport,AU
PMM,Phanom Sarakham,TH
PMO,Falcone-Borsellino Airport,IT
PMP,Pimaga,PG
PMQ,Perito Moreno,AR
PMR,Palmerston North Airport,NZ
PMS,Palmyra,SY
PMV,Santiago Marino International Airport,VE
PMX,Metropolitan,US
PMZ,Palmar Sur,CR
PNA,Pamplona Airport,ES
PNC,Ponca City,US
PND,Punta Gorda,BZ
PNE,North Philadelphia,US
PMY,El Tehuelche,AR
PNB,Porto Nacional,BR
PON,Poptun,GT
POL,Pemba Airport,MZ
PPG,Pago Pago International Airport,AS
POP,La Union Airport,DO
PQM,Palenque,MX
POT,Ken Jones,JM
POU,Dutchess County,US
POV,Presov,SK
POW,Portoroz,SI
POX,Paris Cergy Pontoise,FR
POY,Powell,US
PPA,Perry Lefors Field,US
PPB,A. De Barros Airport,BR
PPD,Palmas Del Mar,PR
PPE,Puerto Penasco,MX
PRA,General Justo Jose de Urquiza Airport,AR
PRB,Paso Robles,US
PRC,Prescott Airport,US
PRG,Vaclav Havel Airport Prague,CZ
PRI,Praslin Island Airport,SC
PRJ,Capri,IT
PRK,Prieska,ZA
PRL,Port Oceanic,US
PRM,Portimao Airport,PT
PRN,Pristina International Airport,XK
PRO,Perry Municipal,US
PRP,Propriano,FR
PRQ,Pres. Roque Saenz Pena,AR
PRV,Prerov,CZ
PRW,Prentice,US
PRX,Cox Field,US
PRH,Phrae Airport,TH
PRZ,Prineville,US
PSB,Bellefonte,US
PSW,Passos,BR
PSX,Palacios,US
PTA,Port Alsworth,US
PTB,Dinwiddie County Airport,US
PSZ,Puerto Suarez,BO
PTG,Polokwane Airport,ZA
PTI,Port Douglas,AU
PTJ,Portland,AU
PTK,Pontiac,US
PTM,Palmarito,VE
PTN,Williams Memorial,US
PTO,Pato Branco,BR
PUD,Puerto Deseado,AR
PTT,Pratt,US
PTX,Pitalito,CO
PUV,Poum,NC
PUW,Moscow Regional Airport,US
PUX,Puerto Varas,CL
PUY,Pula Airport,HR
PUZ,Puerto Cabezas,NI
PVA,Providencia,CO
PVC,Provincetown Airport,US
PVF,Placerville,US
PVE,El Porvenir,PA
PVW,Hale County,US
PWD,Sherwood,US
PVI,Edu Chaves,BR
PWI,Beles,ET
PVR,Gustavo Diaz Ordaz International Airport,MX
PVZ,Casement,US
PWA,Wiley Post,US
PWL,Purwokerto,ID
PWO,Pweto,CD
PWY,Ralph Wenz Field,US
PYH,Puerto Ayacucho,VE
PYJ,Polyarnyj Airport,RU
PYX,Pattaya,TH
PYL,Perry SPB,US
PYM,Plymouth,US
PYN,Payan,CO
PYO,Putumayo,EC
QOW,Sam Mbakwe International Airport,NG
RLT,Arlit,NE
QLU,Lublin Radawiec Airport,PL
QHU,Husum,DE
QMV,Montvale,US
QOR,Ordu,TR
QRW,Warri,NG
QLV,Leverkusen Mitte,DE
QKU,Messe/Deutz Rail Station,DE
QUB,Ubari,LY
QLR,Leiria Gandara Airport,PT
QRA,Rand/Germiston,ZA
QRO,Queretaro Intercontinental Airport,MX
QSC,Sao Carlos,BR
QRY,Heliport,GL
QSF,Setif Airport,DZ
QSR,Pontecagnano,IT
QUG,Goodwood,GB
QUY,Wyton RAF Station,GB
QWG,Wilgrove Air Park,US
QYW,Vieux Port,FR
RAC,John H. Batten Field,US
QZD,Szeged,HU
RAD,Road Town,VG
RAH,Rafha Airport,SA
RBB,Borba,BR
RAJ,Civil Airport,IN
RBC,Robinvale,AU
RAL,Riverside Municipalcipal,US
RBI,Rabi,FJ
RAM,Ramingining,AU
RAN,La Spreta,IT
RAO,Dr. Leite Lopes State Airport,BR
RAT,Raduzhnyi,RU
RBQ,Rurrenabaque,BO
RBR,Pres. Medici Airport,BR
RBS,Orbost,AU
RBO,Robore,BO
RCA,Ellsworth AFB,US
RBT,Marsabit,KE
RBU,Roebourne,AU
RCL,Redcliffe,VU
RCN,American River,AU
RBW,Lowcountry Regional,US
RCK,Coffield,US
RCT,Miller Field,US
RCU,Rio Cuarto,AR
RCQ,Reconquista,AR
REE,Reese AFB,US
REG,Tito Menniti Airport,IT
REI,Regina,GF
REL,Trelew Airport,AR
REN,Orenburg Airport,RU
REO,Rome State,US
REP,Siem Reap International Airport,KH
REQ,Reko Diq,PK
RER,Base Aerea Del Sur,GT
RES,Resistencia Airport,AR
RET,Stolport Airport,NO
REU,Reus Airport,ES
REW,Rewa,IN
